name,location,date,info,lat,lon
2025 USA Powerlifting Forge Classic,GA,2025-08-09,,33.040619,-83.643074
2025 USA Powerlifting Long Island Championship,NY,2025-08-09,,42.165726,-74.948051
2025 USA Powerlifting Inferno Open,WI,2025-08-09,,44.268543,-89.616508
2025 USA Powerlifting Quack Qualifier,OR,2025-08-09,,44.572021,-122.070938
2025 USA Powerlifting STS Summer Showdown,CA,2025-08-09,,36.116203,-119.681564
2025 USA Powerlifting Wolf Fitness Summer Showdown,NJ,2025-08-10,,40.298904,-74.521011
USA Powerlifting Colorado 2025 Summer Showdown & Team Cup,CO,2025-08-10,,39.059811,-105.311104
2025 USA Powerlifting Jacked Culture Summer Showdown,CA,2025-08-16,,36.116203,-119.681564
USA Powerlifting – Hong Kong Championships 2025,,2025-08-16,,0,0
2025 USA Powerlifting World championship qualifications,,2025-08-16,,0,0
2025 USA Powerlifting Beehive State Barbell Bash,UT,2025-08-16,,40.150032,-111.862434
2025 USA Powerlifting SC Palmetto Classic,SC,2025-08-16,,33.856892,-80.945007
2025 USA Powerlifting Virginia Mega Novice Open,VA,2025-08-16,,37.769337,-78.169968
2025 USA Powerlifting Sun’s Out Guns Out Open,CA,2025-08-17,,36.116203,-119.681564
2025 USA Powerlifting X Ghost Florida’s Strongest 2,FL,2025-08-17,,27.766279,-81.686783
2025 USA Powerlifting Virginia Richmond Raid,VA,2025-08-23,,37.769337,-78.169968
2025 USA Powerlifting Iron Games,MI,2025-08-23,,43.326618,-84.536095
2025 USA Powerlifting Summer Slam,IA,2025-08-23,,42.011539,-93.210526
2025 USA Powerlifting Ohio Summer Showdown,OH,2025-08-23,,40.388783,-82.764915
2025 USA Powerlifting Waco War 3,TX,2025-08-23,,31.054487,-97.563461
2025 Rochester Rumble VII – USA Powerlifting,NY,2025-08-30,,42.165726,-74.948051
2025 USA Powerlifting Summer End,WA,2025-08-30,,47.400902,-121.490494
2025 USA Powerlifting Mighty Mick’s Classic,PA,2025-08-30,,40.590752,-77.209755
2025 USA Powerlifting Indiana Fall Brawl,IN,2025-08-31,,39.849426,-86.258278
2025 USA Powerlifting Heavy Metal Open,CA,2025-08-31,,36.116203,-119.681564
2025 USA Powerlifting Southwest Regional Championships,TX,2025-09-05,,31.054487,-97.563461
2025 USA Powerlifting West Coast Regional Championships,NV,2025-09-06,,38.313515,-117.055374
2025 USA Powerlifting Midwest Regionals,WI,2025-09-06,,44.268543,-89.616508
2025 USA Powerlifting Northeast Regionals,NY,2025-09-06,,42.165726,-74.948051
2025 USA Powerlifting Scruffy City Showdown,TN,2025-09-07,,35.747845,-86.692345
USA Powerlifting Spartan Steel Showdown,NJ,2025-09-13,,40.298904,-74.521011
2025 USA Powerlifting Lifting the House,GA,2025-09-13,,33.040619,-83.643074
2025 USA Powerlifting OneUp Barbell Bash,NE,2025-09-13,,41.12537,-98.268082
2025 USA Powerlifting Virginia Iron Classic,VA,2025-09-13,,37.769337,-78.169968
2025 USA Powerlifting Rookies and Regulars @ THE PIT,TX,2025-09-13,,31.054487,-97.563461
Club Coach Certification Course,CA,2025-09-13,,36.116203,-119.681564
2025 USA Powerlifting Viking Invitational,MO,2025-09-19,,38.456085,-92.288368
2025 USA Powerlifting Ozark Mountain Classic,MO,2025-09-20,,38.456085,-92.288368
2025 USA Powerlifting Iron Wars,TX,2025-09-20,,31.054487,-97.563461
2025 USA Powerlifting Spokane “Rookie” Competition,WA,2025-09-20,,47.400902,-121.490494
2025 USA Powerlifting Blazing Sun II,FL,2025-09-20,,27.766279,-81.686783
2025 USA Powerlifting Lift Off: Rookies Rise,SC,2025-09-20,,33.856892,-80.945007
2025 USA Powerlifting New Jersey Heavy Metal Classic,NJ,2025-09-21,,40.298904,-74.521011
USA Powerlifting Fall Festival of Power,NC,2025-09-27,,35.630066,-79.806419
2025 USA Powerlifting Philly Special,PA,2025-09-27,,40.590752,-77.209755
2025 USA Powerlifting Viet Nam Classic Championships,,2025-09-27,,0,0
2025 USA Powerlifting Castle Barbell Iron Gambit,TX,2025-09-27,,31.054487,-97.563461
2025 USA Powerlifting Arkansas Iron Open,AR,2025-09-27,,34.969704,-92.373123
2025 USA Powerlifting Mayhem at the Mill,NY,2025-09-27,,42.165726,-74.948051
USA Powerlifting 2025 Bearcat Classic- Women’s Collegiate Invitational,IL,2025-10-04,,40.349457,-88.986137
2025 USA Powerlifting Magic City Showdown,AL,2025-10-04,,32.806671,-86.79113
2025 USA Powerlifting Avengers Monsters Smash IV,PA,2025-10-04,,40.590752,-77.209755
2025 USA Powerlifting Total for Ta Ta’s,WI,2025-10-04,,44.268543,-89.616508
2025 USA Powerlifting Kratos Fall Classic,OH,2025-10-04,,40.388783,-82.764915
2025 USA Powerlifting Iron Initiation,MA,2025-10-05,,42.230171,-71.530106
2025 USA Powerlifting Titanium Strength Rock n Roll Classic II,CT,2025-10-05,,41.597782,-72.755371
USA Powerlifting Olympia,NV,2025-10-10,,38.313515,-117.055374
2025 USA Powerlifting Montana State Championships,MT,2025-10-11,,46.921925,-110.454353
2025 USA Powerlifting SBC Slasher Classic,KS,2025-10-11,,38.5266,-96.726486
2025 USA Powerlifting  Fall Rookie Brawl,PA,2025-10-11,,40.590752,-77.209755
2025 USA Powerlifting Virginia Chaos Open,VA,2025-10-11,,37.769337,-78.169968
2025 USA Powerlifting Haunting at the Iron House,FL,2025-10-11,,27.766279,-81.686783
2025 USA Powerlifting RIT Tiger on the Loose Throwdown,NY,2025-10-11,,42.165726,-74.948051
Club Coach Certification Course,CT,2025-10-11,,41.597782,-72.755371
2025 USA Powerlifting P3 Muscle & Flow,TN,2025-10-11,,35.747845,-86.692345
2025 USA Powerlifting Gameday Anniversary,TX,2025-10-18,,31.054487,-97.563461
2025 USA Powerlifting Oregon Open,OR,2025-10-18,,44.572021,-122.070938
2025 USA Powerlifting Third Street Showdown II,CA,2025-10-18,,36.116203,-119.681564
2025 USA Powerlifting Freak Fest,WI,2025-10-18,,44.268543,-89.616508
2025 USA Powerlifting Philadelphia Fall Showdown,PA,2025-10-18,,40.590752,-77.209755
2025 USA Powerlifting October Fest,NY,2025-10-18,,42.165726,-74.948051
2025 USA Powerlifting Night of the Living Deadlift,LA,2025-10-18,,31.169546,-91.867805
2025 USA Powerlifting Southeast Regionals,SC,2025-10-18,,33.856892,-80.945007
2025 USA Powerlifting The Jersey Invitational,NJ,2025-10-19,,40.298904,-74.521011
2025 USA Powerlifting MD Death by Iron,MD,2025-10-25,,39.063946,-76.802101
2025 USA Powerlifting Monsters Bash,MN,2025-10-25,,45.694454,-93.900192
2025 USA Powerlifting Knight Mare Classic II,CA,2025-10-25,,36.116203,-119.681564
USA Powerlifting 2025 Gonzo Iron Nightmare,IL,2025-10-25,,40.349457,-88.986137
2025 USA Powerlifting Hidden Strength Showdown,CA,2025-10-25,,36.116203,-119.681564
2025 USA Powerlifting Virginia Fright Night,VA,2025-10-25,,37.769337,-78.169968
2025 USA Powerlifting TSS H-Town Showdown,TX,2025-10-25,,31.054487,-97.563461
2025 USA Powerlifting Jacked O’Lantern,WI,2025-10-25,,44.268543,-89.616508
2025 USA Powerlifting Resurgence: The Reaping,NJ,2025-10-26,,40.298904,-74.521011
2025 USA Powerlifting Collegiate Cup Series – California,CA,2025-10-26,,36.116203,-119.681564
2025 USA Powerlifting Ladies of Power,GA,2025-11-01,,33.040619,-83.643074
2025 USA Powerlifting Squats & Science Fall Brawl,NY,2025-11-01,,42.165726,-74.948051
2025 USA Powerlifting William Jewell Collegiate Invitational,MO,2025-11-01,,38.456085,-92.288368
2025 7th Annual USA Powerlifting Winter War,TX,2025-11-01,,31.054487,-97.563461
2025 USA Powerlifting Washington State Championship,WA,2025-11-01,,47.400902,-121.490494
2025 USA Powerlifting Odyssey Barbell Club Classic,NH,2025-11-01,,43.452492,-71.563896
2025 USA Powerlifting Louisiana State Championships,LA,2025-11-01,,31.169546,-91.867805
2025 USA Powerlifting Western MASSacre,MA,2025-11-01,,42.230171,-71.530106
2025 USA Powerlifting Arizona Fall Classic,AZ,2025-11-01,,33.729759,-111.431221
2025 USA Powerlifting Tennessee High School and Collegiate State Championship,TN,2025-11-02,,35.747845,-86.692345
2025 USA Powerlifting Collegiate Cup Series – Southwest,AZ,2025-11-02,,33.729759,-111.431221
2025 USA Powerlifting Longhorn Open,TX,2025-11-08,,31.054487,-97.563461
2025 USA Powerlifting Thanksgiving Throwdown,CA,2025-11-08,,36.116203,-119.681564
2025 USA Powerlifting Pittsburgh Collegiate Cup,PA,2025-11-08,,40.590752,-77.209755
2025 USA Powerlifting Collegiate Cup Series — New England,MA,2025-11-08,,42.230171,-71.530106
2025 USA Powerlifting Battle of the Brave,NC,2025-11-08,,35.630066,-79.806419
2025 USA Powerlifting Virginia Fall Finale,VA,2025-11-08,,37.769337,-78.169968
2025 USA Powerlifting New Mexico State Championships,NM,2025-11-08,,34.840515,-106.248482
2025 USA Powerlifting Topper Open,MS,2025-11-08,,32.741646,-89.678696
2025 USA Powerlifting Ivy League Cup,NY,2025-11-08,,42.165726,-74.948051
2025 International Drug Free Powerlifting Association Bench World Championships,NY,2025-11-08,,42.165726,-74.948051
2025 USA Powerlifting California High School Open,CA,2025-11-08,,36.116203,-119.681564
2025 USA Powerlifting Legend of the Kilomonster,CO,2025-11-08,,39.059811,-105.311104
2025 USA Powerlifting Far Beyond Driven Showdown,PA,2025-11-08,,40.590752,-77.209755
